iso3,group,median_spread,n,spi_overall,pwt_statcap
ABW,High income,0.7180536559075086,30,,
AGO,Sub-Saharan Africa,0.6517285664106109,30,54.95787037037036,44.44443856209152
ALB,Other developing,0.4911610262955637,30,78.7175462962963,76.0130751633987
ARE,High income,0.4639108826954139,30,65.83263888888888,
ARG,Other developing,0.025909305266150207,30,73.20412037037039,85.1307202614379
ARM,Other developing,0.04924030303955096,27,82.93657407407407,87.38562483660131
ATG,High income,0.07312860488891615,30,53.975499999999975,47.77778370370371
AUS,High income,0.9497103592522045,30,85.94240740740742,
AUT,High income,0.027610969543456987,30,88.74416666666669,
AZE,Other developing,0.208562537524001,27,66.96847222222222,75.13072091503268
BDI,Sub-Saharan Africa,0.8044431327746042,30,49.62314814814815,53.30065947712417
BEL,High income,0.025685861506990926,30,83.50833333333334,
BEN,Sub-Saharan Africa,0.03796025362746014,30,59.67083333333338,60.81700196078433
BFA,Sub-Saharan Africa,0.019521381225973578,30,61.46939814814815,67.0588294117647
BGD,Other developing,0.6335327133217641,30,64.44550925925925,69.54248823529413
BGR,High income,0.03336248397827157,30,82.89046296296297,88.03921503267973
BHR,High income,0.0907649002992168,30,50.76379629629629,
BHS,High income,0.031785964965820424,30,47.521064814814814,
BIH,Other developing,0.040887260437012074,25,63.74694444444444,61.241837254901974
BLR,Other developing,0.046455482043050056,27,78.47453703703702,83.98692549019609
BLZ,Other developing,0.22520737648010253,30,59.596111111111114,60.88889185185185
BOL,Other developing,0.2300455820573899,30,63.54333333333333,69.21568692810459
BRA,Other developing,0.02702350616455078,30,78.86731481481482,81.53594640522876
BRB,High income,0.3969839928826848,30,61.756805555555566,
BRN,High income,0.3980497802672332,30,60.88441666666667,
BTN,Other developing,1.60133684667574,30,54.56597222222224,68.66667555555556
BWA,Sub-Saharan Africa,1.2276590631224815,30,59.050648148148156,57.745090196078415
CAF,Sub-Saharan Africa,1.7575628930585057,30,45.24347222222224,47.091503267973856
CAN,High income,0.018754936386864873,30,89.47384259259259,
CHE,High income,0.24529308800053412,30,87.5490740740741,
CHL,High income,0.03967517286900524,30,83.65912037037035,92.71241960784313
CHN,Other developing,0.06357526779174849,30,57.018055555555556,68.75817065359476
CIV,Sub-Saharan Africa,1.33524524604496,30,58.4949537037037,66.04575555555556
CMR,Sub-Saharan Africa,0.03848539302403986,30,57.535787037037025,59.18301372549019
COD,Sub-Saharan Africa,1.1985607428596992,30,41.68666666666666,42.81046013071895
COG,Sub-Saharan Africa,0.9009581417885295,30,36.949166666666684,48.23529999999999
COL,Other developing,0.030261135101318393,30,77.85486111111112,83.46405294117646
COM,Sub-Saharan Africa,1.7919200897216798,30,50.50375,46.592579259259274
CPV,Sub-Saharan Africa,1.0084372160520005,30,59.54453703703704,69.7037
CRI,High income,0.02661952366193998,30,86.77796296296296,79.4771209150327
CYP,High income,0.02636291675722502,30,79.44231481481481,
CZE,High income,0.022406191168060086,24,86.85125,
DEU,High income,0.03309713226743349,30,88.88865740740742,
DMA,Other developing,0.26285643605618964,30,38.439083333333336,53.62962814814815
DNK,High income,0.023830201932464767,30,89.19847222222222,
DOM,Other developing,0.25151648521423353,30,68.37768518518516,71.53594836601307
DZA,Other developing,0.20000086516524984,30,55.397037037037045,56.96078496732026
ECU,Other developing,0.03350222021449853,30,75.16050925925923,76.56863202614379
EGY,Other developing,0.05847573280334484,30,76.3123611111111,86.60131045751635
ESP,High income,0.038977383422114764,30,89.55953703703705,
EST,High income,0.028532769959754845,26,86.76009259259258,
ETH,Sub-Saharan Africa,0.65059360047462,30,56.61462962962962,68.20261895424836
FIN,High income,0.021096073824885847,30,90.88180555555556,
FJI,Other developing,0.04548966803373511,30,60.979583333333316,61.25926148148148
FRA,High income,0.07636248582837546,30,88.27763888888889,
GAB,Sub-Saharan Africa,0.13036403656005868,30,37.61504629629629,40.130709150326794
GBR,High income,0.18225954639867648,30,85.14393518518519,
GEO,Other developing,0.03354539871215856,25,84.54273148148148,85.88235686274508
GHA,Sub-Saharan Africa,0.2388677120208742,30,63.72986111111111,61.89542941176472
GIN,Sub-Saharan Africa,0.040818557857156046,30,50.337777777777774,57.6470614379085
GMB,Sub-Saharan Africa,0.046344891911958175,30,58.04796296296294,64.05228954248365
GNB,Sub-Saharan Africa,0.965959930419922,30,40.14782407407409,42.941172549019605
GNQ,Sub-Saharan Africa,1.2150374412536622,30,33.45841666666666,35.037034814814795
GRC,High income,0.020708942413330433,30,86.44435185185186,
GRD,Other developing,0.045192491416714664,30,49.42847222222223,50.22222444444444
GTM,Other developing,0.04894695518269743,30,68.85976851851854,76.14379411764706
GUY,High income,0.07515233252816589,30,47.78620370370369,55.48148222222222
HKG,High income,0.027771883984850976,30,,
HND,Other developing,0.044082258520367734,30,61.49601851851852,68.00654444444444
HRV,High income,0.03141355514526367,27,76.91277777777779,85.75163856209149
HTI,Other developing,0.7077803751986838,30,38.27824074074075,41.07843333333334
HUN,High income,0.032112169265747115,30,86.52763888888892,
IDN,Other developing,0.03022097525925771,30,75.31379629629629,85.7516366013072
IND,Other developing,0.03578419685363787,30,71.67384259259259,78.82353529411765
IRL,High income,0.031886482238769887,30,88.25222222222222,
IRN,Other developing,0.5396776821857875,30,56.440277777777766,73.49673398692809
IRQ,Other developing,0.046471200425999726,19,43.63736111111112,43.07189934640523
ISL,High income,0.22005694548075294,30,78.94555555555559,
ISR,High income,0.07476104737952527,30,83.69578703703705,
ITA,High income,0.025855140859407544,30,90.06740740740742,
JAM,Other developing,0.45301900525050065,30,63.212407407407404,73.66013071895425
JOR,Other developing,0.18745598944253516,30,67.40083333333331,73.75818039215685
JPN,High income,0.10401767037697454,30,86.55962962962963,
KAZ,Other developing,0.037647056579590554,27,79.2325925925926,90.35947843137254
KEN,Sub-Saharan Africa,0.12242105416080973,30,62.92814814814815,58.95424771241829
KGZ,Other developing,0.028433403208382002,27,80.91648148148148,87.18954379084967
KHM,Other developing,0.7515429206168545,30,57.88037037037038,67.94117647058823
KNA,High income,0.48507681482501663,30,41.22125,55.33333481481481
KOR,High income,0.024391969808315483,30,85.66791666666666,
KWT,High income,0.02621187463544583,30,57.984861111111144,
LAO,Other developing,0.26133174522999925,30,54.011666666666684,67.97386274509803
LBN,Other developing,0.10901375371767619,30,53.207175925925924,54.64051830065358
LBR,Sub-Saharan Africa,2.75970106124878,19,55.54375,38.23529346405229
LCA,Other developing,0.29667926458342064,30,60.13666666666667,60.81480814814815
LKA,Other developing,0.565260946992405,30,75.64240740740742,76.40523137254903
LSO,Sub-Saharan Africa,1.2835960059526152,30,55.375555555555565,66.20915686274509
LTU,High income,0.09742765426635769,24,86.31967592592594,
LUX,High income,0.029974567419690068,30,80.69958333333334,
LVA,High income,0.025143417279281266,27,86.2097685185185,
MAC,High income,0.031436316126622565,18,,
MAR,Other developing,0.6276819993738353,30,67.3824537037037,77.81045816993463
MDA,Other developing,0.02441320419311488,29,80.3127314814815,87.12418496732026
MDG,Sub-Saharan Africa,0.020945715904235884,30,52.28972222222221,62.48366535947713
MDV,Other developing,0.3345333893383069,30,57.704953703703694,64.07406814814814
MEX,Other developing,0.028096088238807826,30,87.4464814814815,83.46405555555555
MKD,Other developing,0.029577159881591708,27,76.47115740740739,78.95425163398693
MLI,Sub-Saharan Africa,5.121503171506668,30,58.32175925925925,62.90850130718956
MLT,High income,0.015293693542480113,19,78.01018518518518,
MMR,Other developing,1.1560029300395005,21,60.98189814814813,56.045746405228755
MNE,Other developing,0.2049083709716797,19,68.10615740740741,63.52948300653595
MNG,Other developing,0.04561636517639922,30,79.23870370370369,78.10457254901961
MOZ,Sub-Saharan Africa,0.022432190156810305,30,59.541111111111114,70.22876535947712
MRT,Sub-Saharan Africa,0.030585050582885742,29,53.757500000000014,59.34641437908496
MUS,Sub-Saharan Africa,0.06762842652882473,30,75.78888888888888,76.33987450980393
MWI,Sub-Saharan Africa,0.9422992554413017,30,60.4160648148148,73.26797843137255
MYS,Other developing,0.015863562447809176,30,72.18611111111112,77.28758104575162
NAM,Sub-Saharan Africa,0.03915591239929195,29,52.82981481481481,54.64053071895426
NER,Sub-Saharan Africa,0.8678552838398095,30,62.27083333333334,67.54902549019607
NGA,Sub-Saharan Africa,0.4840664863586426,29,60.323148148148135,62.81045620915032
NIC,Other developing,0.025374984741210582,30,52.52217592592592,69.47712679738562
NLD,High income,0.023936172639489106,30,84.04412037037036,
NOR,High income,0.171011882307605,30,89.70273148148148,
NPL,Other developing,0.06863837294087016,30,56.995462962962975,69.21568758169934
NZL,High income,0.6878773579443829,30,85.86680555555557,
OMN,High income,0.02785275781584473,30,53.31513888888889,
PAK,Other developing,0.4916466106990449,30,64.1213425925926,75.7516385620915
PAN,High income,0.4573503915209375,30,67.41671296296296,74.0196117647059
PER,Other developing,0.026885843139569765,30,71.91231481481482,85.09803921568627
PHL,Other developing,0.032747418764216274,30,78.67458333333333,84.0522862745098
POL,High income,0.0391772532078396,29,89.5599074074074,82.94118104575165
PRT,High income,0.023557350983782865,30,88.84444444444445,
PRY,Other developing,0.040722154141004135,30,64.29055555555556,67.51634183006536
QAT,High income,0.4532199772525534,30,57.894398148148156,
ROU,High income,0.028835296630859375,29,82.89291666666668,88.36601633986929
RUS,High income,0.04352840526020074,27,77.19898148148148,82.32026470588234
RWA,Sub-Saharan Africa,0.10885563041570734,30,66.1899537037037,68.13726143790849
SAU,High income,0.03334307670593267,30,65.32666666666665,
SDN,Sub-Saharan Africa,3.869029704067586,30,40.052083333333336,46.209150326797385
SEN,Sub-Saharan Africa,0.03223320028468653,30,69.42875000000001,73.85621176470588
SGP,High income,0.028284195691894262,30,79.96342592592593,
SLE,Sub-Saharan Africa,4.5558330535888665,30,54.85615740740741,50.45752222222223
SLV,Other developing,0.027494264573150073,30,70.86490740740739,84.05229143790848
SRB,Other developing,0.4395603009033655,22,77.77564814814815,75.88817058823528
STP,Sub-Saharan Africa,0.27915644657014993,30,51.57912037037036,62.29629925925926
SUR,Other developing,0.9075828075408936,30,52.86694444444444,64.0000074074074
SVK,High income,0.025218725204467773,26,86.3475,
SVN,High income,0.027498912811279475,27,90.3315277777778,
SWE,High income,0.033131226046029694,30,90.89120370370372,
SWZ,Sub-Saharan Africa,0.27235631498634527,30,53.86189814814816,62.22222352941177
SYC,Sub-Saharan Africa,0.8729365797858641,30,59.56015625000001,65.77776962962963
SYR,Other developing,1.624357509613037,21,27.073333333333338,49.084968627450976
TCD,Sub-Saharan Africa,1.4784421245495751,30,41.50888888888889,56.568637254901944
TGO,Sub-Saharan Africa,0.04592752001394507,30,62.77842592592593,58.56209215686273
THA,Other developing,0.03311924174013425,30,80.14555555555555,82.05882549019607
TJK,Other developing,0.049162483215342334,27,55.97416666666666,73.39869673202614
TKM,Other developing,5.65254918531575,27,25.3111574074074,40.849669934640524
TTO,High income,0.16075649261474617,30,49.48958333333332,63.95424640522877
