country,prime,area_2000_ha,area_2010_ha,area_2016_ha,area_2023_ha
Albania,Debine e Bardhë,,,,71
Albania,Kadarka,,,,111
Albania,Merlot,,,,735
Albania,Pules,,,,150
Albania,Serina e Zezë,,,,150
Albania,Shesh i Bardhë,,,,1352
Albania,Shesh i Zi,,,,2720
Albania,Vlosh,,,,33
Albania,other,,,,3078
Algeria,Alicante Henri Bouschet,3020,3020,,
Algeria,Cabernet Sauvignon,1510,1510,1000,280
Algeria,Cinsaut,7550,7550,,
Algeria,Garnacha Tinta,6040,6040,2000,560
Algeria,Mazuelo,7550,7550,3000,840
Algeria,Merlot,1510,1510,1000,280
Algeria,Muscat of Alexandria,,,200,56
Algeria,Pinot Noir,1510,1510,,
Algeria,Sultaniye,,,100,28
Algeria,Syrah,1510,1510,1000,280
Argentina,Afus Ali,,,,48.7666
Argentina,Aglianico,81.5644,84.3561,50.9,3.0087
Argentina,Ahmeur Bou Ahmeur,,,,0.6
Argentina,Alba,,,,26.2484
Argentina,Alicante Henri Bouschet,113.4495,257.2152,135.4,130.8596
Argentina,Alphonse Lavallée,,,,315.8727
Argentina,Alvarelhão,,,6.4,
Argentina,Alvarinho,,1.95,,11.1799
Argentina,Ancellotta,13.4424,208.9619,991.1,2393.7247
Argentina,Argentina,,,,4.53
Argentina,Arinarnoa,0.95,0.95,1,1.11
Argentina,Arizul,,,,1294.1232
Argentina,Aspiran Bouschet,432.4426,2244.8736,4086.6,4435.0104
Argentina,Aurore,,,,3.483
Argentina,Barbera,1054.8559,733.3788,443.5,371.1242
Argentina,Beba,,,,0.45
Argentina,Bicane,,,,3.37
Argentina,Bombino Bianco,10.122,10.122,9.4,9.41
Argentina,Bonamico,253.4047,206.3675,136.8,101.5977
Argentina,Bourboulenc,0.09,3.5365,0.2,0.2265
Argentina,Béquignol Noir,1081.9328,890.1111,615.7,476.9851
Argentina,Caberinta,85.3437,68.796,38.3,37.9456
Argentina,Cabernet Franc,251.7168,592.205,928.848,1684.2915
Argentina,Cabernet Sauvignon,13776.3224,17674.0321,15355.7,13468.9582
Argentina,Caladoc,0.67,13.5892,15.4,21.1321
Argentina,Canari Noir,218.1767,149.8523,79.5,47.246
Argentina,Canela,0.1866,1.3083,2.8,1.1725
Argentina,Canelon,8,8,,
Argentina,Cardinal,679.8978,,2.2,417.1482
Argentina,Carmenère,,33.1154,58.7,48.7659
Argentina,Casavecchia,,,5.8,7.02
Argentina,Cereza,31113.353,29934.1788,28886.6,24834.0451
Argentina,Chardonnay,4681.784,6583.8365,6226.7,5522.1561
Argentina,Chenin Blanc,3444.9814,2850.5778,2156.625,1591.9161
Argentina,Cinsaut,5.9485,5.9485,1.4,1.37
Argentina,Cornichon Blanc,,,,3.743
Argentina,Corvina Veronese,19.15,18.7775,16.8,16.8422
Argentina,Corvinone,,0.7,0.4,0.3528
Argentina,Crimson Seedless,,,,0.565
Argentina,Criolla Grande,24264.0687,20744.8013,15595.6,12530.9606
Argentina,Criolla Mediana,1.49,3.49,6.9,7.4666
Argentina,Croatina,,15.3462,16.3,16.346
Argentina,Côt,18229.5515,28543.1155,40401.2,46540.5465
Argentina,Damaschino,826.5081,673.6203,526.6,382.3845
Argentina,Dauphine,,,,3.4463
Argentina,Dawn Seedless,14.6,,,12.767
Argentina,Dolcetto,5.7948,6.2497,7,2.3717
Argentina,Douce Noire,15659.2701,18775.4493,19071.5,17447.4201
Argentina,Ekigaina,,0.95,1,0.96
Argentina,Emerald Riesling,,,,0.882
Argentina,Emperatriz,,,,15.5909
Argentina,Emperor,,,,26.6484
Argentina,Fer,347.9329,262.703,183,138.1127
Argentina,Ferral,48.4565,30.4083,31.3,30.0721
Argentina,Fiano,,,4.9,5.19
Argentina,Fiesta,,,,1320.3138
Argentina,Fintendo,144.0707,118.1123,184.5,165.5442
Argentina,Flame Seedless,515.5386,,,5187.6107
Argentina,Freisa,13.9944,12.1994,5.3,4.4457
Argentina,Gamay Noir,1.8375,1.6375,0.4,0.4075
Argentina,Garganega,4.2675,21.3137,29.9,28.8323
Argentina,Gargiulo 102011,,,,249.5811
Argentina,Gargiulo 14260,1,1,,
Argentina,Gargiulo 2539,69.0009,48.834,29.1,24.714
Argentina,Gargiulo 26189,5.82,,,
Argentina,Gargiulo 26879,4.15,2.5,,
Argentina,Gargiulo 4113,7.2339,6.105,2.6,2.63
Argentina,Gargiulo 45803,3.839,8.1,10.3,9.45
Argentina,Gargiulo 87746,,,,0.022
Argentina,Gargiulo 88087,,,,202.8479
Argentina,Garnacha Blanca,,,1.5,1.04
Argentina,Garnacha Tinta,8.705,21.8762,21.9,46.9283
Argentina,Gewürztraminer,,,,24.7228
Argentina,Gibi,1226.6831,1073.8209,784.5,639.0769
Argentina,Graciano,50.093,29.412,18.3,18.2974
Argentina,Grand Noir,4.13,2.06,,
Argentina,Greco,,0.25,0.3,0.26
Argentina,Greco Nero,513.2409,429.0517,356.4,285.8062
Argentina,Grüner Veltliner,,,7.3,11.6684
Argentina,Isabella,74.1798,,,55.8653
Argentina,Italia,256.8802,192.1706,,65.6848
Argentina,Joubertin,1.439,1.439,,
Argentina,Kishmish Chernyi,,,,23.491
Argentina,Kishmish Rozovyi,,,,2
Argentina,Lambrusco Grasparossa,,8.1,10.8,8.4125
Argentina,Lambrusco Maestri,151.0015,88.8729,47.7,45.8618
Argentina,Lattuario Nero,,,,11.0955
Argentina,Listán Prieto,1057.3153,844.8638,374.1,553.8274
Argentina,Macabeo,3.3,1.75,,
Argentina,Malvasia,60.5233,45.0382,21.1,17.6424
Argentina,Malvasia Nera di Brindisi,,0.32,,
Argentina,Marsanne,0.09,1.2465,2.1,4.0865
Argentina,Marselan,,7.95,9.7,72.2754
Argentina,Maticha,353.9356,311.1298,257,198.0529
Argentina,Mazuelo,56.9055,30.4391,13.2,12.4776
Argentina,Melon,,1,1,1
Argentina,Merlot,6263.2421,6952.8284,5632,4703.1785
Argentina,Michele Palieri,21.94,,,2.855
Argentina,Molinara,2.38,0.6,,0.36
Argentina,Monastrell,0.32,0.7462,12,9.2002
Argentina,Montepulciano,49.0677,94.1726,82.1,51.5913
Argentina,Moscato Giallo,196.991,155.6004,118.8,97.64
Argentina,Muscat Blanc à Petits Grains,149.2917,139.4793,94.2,60.069
Argentina,Muscat Blanc à Petits Grains (G),10442.3673,8691.4622,6526.105,4945.5144
Argentina,Muscat of Alexandria,5515.2291,4035.4128,2715.5,1933.0779
Argentina,Muscat of Hamburg,2.0843,1.9843,,0.1517
Argentina,Nebbiolo,217.7765,180.4918,31.6,30.2403
Argentina,Negroamaro,,,,0.2023
