prime,area_2000_ha,area_2010_ha,area_2016_ha,area_2023_ha
Abbou,2375,2375,,
Abbuoto,696.33,37.06,18.49882444,
Abondant,0.36,0.3156,0.3125473442,0.3125473442
Abouriou,419.04,328.8513,310.2260459,185.9373
Abrusco,398.87,423.05,213.4629233,
Accent,,,1,1
Acolon,,490.3654,477.0115,486.3575231
Adakarası,48.01380427,68.75,88.6325,88.63249969
Adalmiina,,,4.9,5.37900009
Adirondac,,,24.04620694,
Admirable de Courtiller,,27.7487,26.76766963,26.76766963
Affenthaler,,,,0.4047
Afus Ali,1837.21,380.9139,211.1059824,160.2126573
Agadai,1264.644,,,0.13
Agadaj,,,,0.25
Agasfark,,,0.048,0.048
Agat Donskoi,,,,0.04999999981
Agiorgitiko,2319.54,2905.3,3272.489353,3157.74
Aglianico,9346.0044,9994.7761,9709.45369,9603.88756
Aglianicone,148.35,62.43,30.26329016,
Agni,,6,,6.6
Agronomica,19.08,326.58,298.7190301,298.7190301
Agua Santa,,77.75,76.42691952,76.42691952
Ahmeur Bou Ahmeur,3.21,1,0.3,0.9
Airén,387977.66,252364,203800.5714,190426.005
Akhtanak,,,,147.8605
Aladasturi,46,59.0088,59.0088,
Alarije,1685.95,1726,4406.634521,3183
Alb Aromat,,,24,24.6421
Alb de Ialoveni,2,2,,
Alb de Suruceni,,,780.3977655,780.3977661
Alba,,,,26.2484
Albalonga,57,15,12,12
Albana,2487.22,1522.8748,782.1157476,1038.417913
Albanello,116.6,17.71,2.071440568,
Albany Surprise,,,,1
Albaranzeuli Bianco,72.25,6.86,2.427009586,
Albaranzeuli Nero,39.81,49.45,27.51050419,
Albarola,4089.9,196.71,95.2553017,
Albarossa,4.76,80.05,69.56793754,
Albarín Blanco,,23,48.1327,196
Albillo Mayor,4.888678253,1319.25,1152.48575,903.95
Albillo Real,3368.33,861,600.782,840
Alcañon,54.14,60,27.221973,11
Alden,,,,0.1536000017
Aleatico,457.77,346.1416,162.9428768,14.90631752
Aledo,,7,2.2713,2.2713
Aleksandrouli,219,280.9332,280.9332,336
Aletta,,722.9594,1676.0987,2041.1684
Alfrocheiro,522.59,1187.795778,1215.86536,1270.091
Alicante Henri Bouschet,37148.61265,38431.89278,36012.05545,68972.02616
Aligoté,35667.7242,36120.07717,26929.13564,24989.63707
Alionza,40.68,10.59,8.565098826,
Allegro,,,,0.129999999
Almafra,,0.19,0.08902405964,0.08902405964
Alphonse Lavallée,15.12088694,861.8679,633.8819764,970.8946764
Altesse,293.57,358.9603,226.7057794,295.0427
Alurdreni,,,,46.907
Alutus,,,1.680673737,
Alvar Branco,,0.22,0.1622624071,0.1622624071
Alvar Roxo,,1.7,1.754856788,1.754856788
Alvarelhao Ceitao,,0.02,0.01958933476,0.01958933476
Alvarelhão,158.67,179.51,48.17200327,51.71545482
Alvarinho,5113.35,5521.390406,8405.492214,10657.07594
Amaral,582.35,92.23,93.12762023,93.12762023
Amigne,20.93,43.26,41.54009901,40.1862
Amur,,146,146,0.8094
Amurensis,,,,2.1
Amurg,,,3.241146032,
Ancellotta,4404.6624,4681.38629,2739.224424,7646.909071
Andor,,,0.584,0.5548
André,,477.2,5,166.0448
Antao Vaz,376.07,1251.6,1768,1768
Antigona,,,,0.22
Antão Vaz,,,,1496.22
Apiren Alb,,,1.382336032,1.38233602
Apiren Roz,,,0.4123914176,0.4123914242
Ar110,0.6983826075,1,1,1
Ar99,3.491913038,5,5,5
Aramon Bouschet,10.01,,,
Aramon Noir,9156.56,2600.5022,1181.057599,1181.737599
Aramon Noir (W),43.06,14.8665,14.39912289,14.39912289
Aramont,0.95,,0.178,0.178
Arandell,,,,41.2794
Aranel,21.75,5.0234,4.746381965,4.746381965
Arany Sárfehér,2913.739,1133.1561,586.2266,156.8748
Aravelle,,,,3.2376
Arbane,1.34,1.7285,1.319451052,14
Arcas,,,0.8935689357,
Areni Sev,,,,883.98351
Argaman,202.343,202.343,275,357.5
Argentina,,,,4.53
Ariana,,3,,0.0005000000237
Arinarnoa,149.8,188.615817,486.0789827,536.6672311
Arinto de Bucelas,3965.95,4482.23,5409,6440.255
Arizul,,,,1294.1232
Arkadia,,,303.1076919,303.1151965
Arkansas 1704,,,,0.03999999911
Armonoir,,,,1.2
Arneis,737.76,1122.49,1167.143588,1269.566566
Arnsburger,3,28.39,29.39,29.39
Aromat de Iasi,,,66.04350188,61.1085
Aromella,,,2.832802,5.2611
Arriloba,58.91,54.599828,54.22643347,56.47034819
Arrouya,,0.0169,0.01643125967,0.01643125967
Arrufiac,126,80.0869,8.633949016,8.633949016
Artaban,,,,0.02749980519
Arvesiniadu,146.51,29.91,12.58953387,
Arvine,60.87,172.31,191.8613201,253.9831179
Asirtiko Red,21.7,4.8,5.107185597,
Aspiran Bouschet,432.6726,2244.8736,4088.026765,4471.450548
Asprouda,433.01,112.7,120.0239949,
Assaraky,,1.03,0.4826041128,0.4826041128
Assyrtiko,1106.2,902,1770,2164.53
Astra,,,0.2232312499,
Athiri,1350.12,747.5,577.2953037,572
Aubin Blanc,1.44,0.8642,0.6777191487,0.6777191487
Aubun,1411.44,553.3495,537.4873161,537.7873161
Augster Blau,,,0.096,0.096
Augster Weiss,,0.6171,0.6774,0.4046
Augustovski,,,0.298777582,0.2987775803
Aurelius,,69.52,,48.2257
Aurore,298.658304,267.6188518,255.112318,576.80395
Auxerrois,2302.09,2784.84542,2852.679642,3020.174909
Avana,52.55,27.52,18.46134123,
Avarengo,1452.99,987.25,153.1932588,
Avesso,635.85,685.39,699.1112464,779.872
Azal,3302.34,1071.93,1442.811968,1632.857
BX 81-83,,,0.57099998,0.57099998
Babica,,17.96,,10.05
Babić,1188.967,358.63,,274.56
Babosa de Madere,,2.06,1.571836206,1.571836206
Bacchus,3392.43,2113.34049,1758.685316,2985.239845
Backa,,,,29.6252
Baco Blanc,2136.57,738.625,527.5454886,920.2721
Baco Noir,397.156604,474.580873,735.3412701,741.6748114
Baga,6729.5,4108.1,6750.0414,7202.6714
Bagrina,,,,0.59
Bailey,,34.37086111,48.96898537,73.45347595
Bakator Belyi,,,11.31288752,
Bakator Kék,,2.5556,2.3841,2.3841
Bakator Roz,,1.9087,16.21631054,1.7474
Balada,,,0.4507554084,
Baleille,1.47,,,
Banatski Muskat,,,,0.02
Baratuciat,,1.7,1.74725054,
Barbarossa,16.21,,,
Barbaroux,79.25,29.9503,29.20828571,29.20828571
Barbera,33026.26917,24314.62122,17808.82765,19661.58928
Barbera Bianca,251.26,180.98,114.2983455,
Barbera Sarda,325.85,83.93,69.71796098,
Barcelo,33.76,22.88,26.45982113,26.45982113
Bariadorgia,0.29,,,
Barkhatnyi,,30,30,
Baron,,,1.100000001,1.3365
Baroque,168.55,94.0009,83.39681658,50.9478
Barreto de Semente,,2.5,2.531005526,2.531005526
Barsaglina,20.31,17.06,8.50639387,
Bastardo Branco,,14.58,14.29846417,16.29846417
Bastardo Magarachsky,1969.128221,2370.4,180.0088538,180.0088501
Batili,26.63,,,
Batily,38.36,54.1,1.09424183,
Batoca,80.28,11.48,8.064634908,8.064634908
Batuta Neagra,,,2.838685845,
Bayanshira,450.5414957,645.12367,645.12367,847.7858974
Beba,8249.77,6524.04,2555.743943,7484.508312
Beclan,0.18,0.251,0.06498001231,0.06498001231
Beibinghong,,,1600,640
Bellandais,1.52,,,
Bellone,1315.23,511.18,184.027758,
Beogradska Besemena,,,,1.08
Beogradska Crna,,,0.27,
Beogradska Rana,,,,1.67
Bequignol Gris,,2.6887,2.151,2.6186
Bianca,2180.07,6450.3804,9765.63613,8940.7393
Biancame,1329.68,2599.08,1336.040726,602.0005
Bianchetta Trevigiana,53.33,13.44,11.56805635,
Bianco d'Alessano,941.05,419.24,38.28281647,
Biancolella,385.34,163.61,22.62091281,
Biancone di Portoferraio,67,77.76,37.6787529,
Biancu Gentile,1,8.808,5.410673513,144.0507
Bianka,,,,1.366340003
